№;ФИО;Номер телефона;Количество минут, оплаченных абонентом;Количество минут, которые наговорил абонент;Стоимость дополнительной минуты;Адрес;Сумма, оплаченная за дополнительные минуты
4999;Дроздова Валерия Богдановна;+79819807656;333;260;9;к. Жигулевск, пер. Народный, д. 8, 133266;0
5000;Лавр Германович Белозеров;+75571781032;430;451;4;к. Александров, пр. Аэродромный, д. 895 стр. 258, 096871;84
5001;Селезнева Феврония Матвеевна;8 410 935 6297;135;127;12;к. Партизанск, бул. Томский, д. 648 к. 82, 119613;0
5002;Михеев Максимильян Ануфриевич;+7 (193) 751-67-41;481;142;2;п. Алагир, пер. 70 лет Октября, д. 49, 013518;0
5003;Агата Анатольевна Терентьева;8 (806) 489-99-98;482;161;19;п. Сеймчан, алл. Промышленная, д. 2 к. 75, 404010;0
5004;Медведев Тимофей Трифонович;+70213727576;335;338;10;клх Лотошино, пр. Томский, д. 40 стр. 72, 547832;30
5005;Мартьян Виленович Некрасов;8 066 115 87 64;172;401;29;к. Сасово, пр. Городской, д. 7, 458940;6641
5006;Крюкова Елена Ильинична;87689513034;235;233;40;к. Дивногорск, ш. Таманское, д. 98, 517873;0
5007;Богданова Лора Евгеньевна;8 288 399 97 00;364;303;50;п. Яхрома, ш. Фрунзе, д. 9, 337030;0
5008;Одинцова Анна Наумовна;+7 (665) 117-8095;208;385;12;г. Железногорск(Курск.), пер. Есенина, д. 2 к. 1/1, 397565;2124
5009;Милица Альбертовна Баранова;+7 (179) 322-6068;378;536;26;п. Пермь, ул. Волкова, д. 8 стр. 103, 723533;4108
5010;Дмитриев Светозар Андреевич;+76864523373;388;511;20;к. Нальчик, бул. Водников, д. 63 стр. 3/6, 396569;2460
5011;Марков Аскольд Ермолаевич;+70744022374;480;63;27;п. Орехово-Зуево, наб. Медицинская, д. 79, 336094;0
5012;Иванна Владимировна Маслова;8 974 639 53 57;420;248;11;д. Кингисепп, ш. Культуры, д. 7/7 к. 2/2, 569424;0
5013;Анна Даниловна Самойлова;+7 (862) 506-88-63;23;142;17;ст. Нязепетровск, бул. Станиславского, д. 4/4 стр. 7/5, 135836;2023
5014;Агафонова Нина Эдуардовна;8 225 222 54 23;234;423;46;к. Верхоянск, пр. Прудовой, д. 7 стр. 63, 317426;8694
5015;Голубева Лора Кузьминична;+7 669 275 4593;454;466;9;клх Хабаровск, наб. К.Маркса, д. 947 к. 2/3, 923088;108
5016;Мартынова Светлана Натановна;8 (379) 680-79-27;117;184;6;клх Вологда, ул. Л.Толстого, д. 534 к. 47, 360539;402
5017;Людмила Никифоровна Сысоева;+7 (073) 182-15-01;131;487;8;д. Туапсе, ш. Почтовое, д. 8/2 к. 8/9, 920575;2848
5018;Зыков Харлампий Брониславович;+7 292 392 4972;238;453;5;к. Карталы, пер. Шевченко, д. 8 к. 6/2, 896971;1075
5019;тов. Фокина Анжелика Яковлевна;8 (223) 627-7650;194;316;49;ст. Губкинский, ул. Казанская, д. 79 стр. 2/8, 661701;5978
5020;Надежда Владимировна Капустина;8 (778) 091-8462;438;566;20;ст. Сургут (Хант.), алл. Труда, д. 646 стр. 93, 925174;2560
5021;Раиса Михайловна Игнатьева;8 (588) 119-49-14;251;516;2;г. Усть-Баргузин, пер. Рабочий, д. 439, 177476;530
5022;Ксения Леонидовна Сафонова;8 316 777 0783;160;295;4;к. Жуковский, пр. Ударный, д. 490 к. 6, 169656;540
5023;Лука Владиславович Соболев;+7 (844) 984-67-91;453;248;35;д. Люберцы, ш. Павлова, д. 5/9, 257519;0
5024;Суханова Людмила Эльдаровна;8 (554) 059-6816;493;153;18;ст. Усть-Баргузин, наб. Молодежная, д. 599 стр. 57, 274409;0
5025;Никонова Агафья Ждановна;8 (131) 237-4450;180;95;19;п. Егорьевск, ш. Дальневосточное, д. 5/6 к. 44, 193692;0
5026;Евгения Андреевна Пестова;83852632137;78;344;34;к. Раменское, бул. Иркутский, д. 775 к. 8, 588527;9044
5027;Аполлон Глебович Лихачев;8 853 839 90 14;362;493;16;клх Кулу, алл. К.Маркса, д. 8/1 к. 5/1, 318937;2096
5028;Аникита Давидович Зыков;8 (292) 052-43-62;379;263;20;д. Костомукша, пр. Покровский, д. 909, 846920;0
5029;Сильвестр Иларионович Осипов;87004051710;24;217;10;г. Ухта, ул. 60 лет Октября, д. 4 к. 4, 692133;1930
5030;Марфа Вадимовна Никифорова;8 (026) 237-4411;338;353;38;с. Ступино, алл. Минина, д. 933 стр. 7, 783318;570
5031;Родионов Артем Тарасович;8 (627) 661-1425;34;228;40;г. Барнаул, пр. Волочаевский, д. 8/5, 954709;7760
5032;Владимир Теймуразович Харитонов;85978980005;134;291;37;д. Ступино, ш. Гончарова, д. 3 стр. 4/8, 777071;5809
5033;Захаров Азарий Даниилович;8 737 714 14 68;256;116;32;г. Находка, алл. Прудная, д. 12 к. 267, 962819;0
5034;Быков Амос Бориславович;8 200 764 6830;475;291;38;ст. Минусинск, ул. Менделеева, д. 70 к. 3, 245402;0
5035;Евграф Ефремович Елисеев;8 (700) 962-85-20;160;58;11;г. Горячинск, пр. Профсоюзный, д. 581, 310769;0
5036;Октябрина Семеновна Самсонова;+7 598 878 6835;349;329;5;клх Губкинский, ш. Ватутина, д. 2, 411775;0
5037;Калинина Евпраксия Геннадьевна;+7 288 232 62 35;97;314;40;п. Алдан, ш. О.Кошевого, д. 21, 361790;8680
5038;Голубев Арефий Харитонович;8 (920) 584-82-72;135;276;11;к. Тамбов, пер. Седова, д. 38, 425436;1551
5039;Щербаков Руслан Ефимович;8 (135) 485-78-96;448;164;2;клх Калач-на-Дону, ул. Папанина, д. 5, 465431;0
5040;Красильникова Пелагея Николаевна;8 480 441 97 16;348;105;29;с. Ступино, алл. Садовая, д. 51, 968596;0
5041;Наум Евсеевич Бирюков;8 (435) 705-33-71;22;427;26;п. Серпухов, алл. Максима Горького, д. 67, 513360;10530
5042;Лавр Ааронович Лобанов;88462371042;127;596;20;г. Углич, пр. Бульварный, д. 544, 922645;9380
5043;Беляков Аристарх Владиленович;+7 851 359 87 01;421;199;31;с. Назрань, ш. Верхнее, д. 7, 374442;0
5044;Гущин Ратмир Васильевич;+76638289936;243;17;50;д. Новороссийка, алл. Специалистов, д. 253 стр. 3/2, 253587;0
5045;Федоров Милан Ермилович;+7 (806) 926-5245;76;239;37;к. Бугуруслан, наб. Прудовая, д. 605, 934997;6031
5046;Любим Игнатьевич Потапов;8 (001) 166-07-91;325;144;32;д. Красноселькуп, ул. Энергетическая, д. 35 стр. 4/8, 611050;0
5047;Соболева Ксения Тимуровна;81042468119;367;278;28;клх Цимлянск, пер. Челюскинцев, д. 3/5 стр. 6, 939155;0
5048;Кулагина Нонна Егоровна;8 (721) 002-83-12;370;560;44;г. Великие Луки, ул. Привокзальная, д. 372 к. 5/7, 710011;8360
5049;Вероника Геннадьевна Евдокимова;8 (319) 941-7619;176;364;27;г. Ардон, ул. Украинская, д. 8/3 к. 35, 433472;5076
5050;Орехов Иларион Гаврилович;8 (938) 017-4381;349;110;26;д. Нарьян-Мар, ул. Беляева, д. 495, 398641;0
5051;Шестаков Лука Фомич;8 911 250 54 99;83;343;15;к. Саров (Морд.), ш. Мусы Джалиля, д. 1 к. 7/2, 635697;3900
5052;тов. Меркушев Лукьян Владиславович;+7 (930) 917-92-88;197;28;34;клх Амдерма, ул. Фрунзе, д. 8/6 к. 9/2, 409218;0
5053;Оксана Кирилловна Антонова;8 (965) 539-28-30;310;585;11;п. Волоколамск, пер. Промышленный, д. 778, 827267;3025
5054;Татьяна Ильинична Симонова;+70209269131;301;355;48;п. Углегорск, алл. Троицкая, д. 1, 497275;2592
5055;Журавлев Януарий Васильевич;+7 (544) 997-62-63;37;122;17;ст. Гремячинск (Перм.), пр. Раздольный, д. 2 к. 1, 781141;1445
5056;Мартьян Феоктистович Якушев;+7 059 800 31 45;441;267;4;п. Голицыно, ш. Путейское, д. 9/4 к. 98, 401478;0
5057;Маслова Антонина Валериевна;+7 (683) 672-7653;476;14;21;с. Сергиев Посад, алл. Омская, д. 3/7 стр. 6, 436680;0
5058;Прасковья Аскольдовна Горшкова;+7 (823) 713-16-77;74;455;22;к. Катайск, ш. Энергетиков, д. 6, 061650;8382
5059;Панкрат Якубович Ковалев;+7 589 403 0277;232;304;1;ст. Игарка, пр. Тракторный, д. 551 стр. 8/9, 779771;72
5060;Гордеева Агата Федоровна;+7 (391) 218-76-82;403;90;23;к. Оленегорск (Якут.), бул. Троицкий, д. 2 к. 24, 595834;0
5061;Евгения Робертовна Романова;+7 684 061 54 47;228;289;34;г. Хужир, пр. Балтийский, д. 5/4 к. 5, 697483;2074
5062;Захар Давыдович Коновалов;8 (968) 856-60-40;202;134;27;д. Армавир, пер. Морской, д. 46, 378677;0
5063;Эмиль Брониславович Панфилов;+7 (499) 145-63-94;294;546;26;к. Соликамск, бул. Осипенко, д. 5/8 стр. 799, 870038;6552
5064;Никитин Егор Евстигнеевич;+7 170 111 01 53;223;361;3;к. Подольск, ш. Покровское, д. 222 к. 23, 817311;414
5065;Вера Вадимовна Лаврентьева;84972545867;36;33;28;г. Вуктыл, наб. Леонова, д. 54, 305578;0
5066;Дмитриев Ратибор Григорьевич;8 070 208 0444;463;598;46;д. Ижевск, ул. Минская, д. 465 к. 6/2, 307547;6210
5067;Исаев Леонид Виленович;8 (821) 727-44-62;498;355;3;с. Ногинск (Моск.), ул. Димитрова, д. 75, 402415;0
5068;Муравьева Эмилия Аркадьевна;8 101 058 65 36;302;503;12;д. Джейрах, ул. Культуры, д. 2 к. 5, 682845;2412
5069;Лукина Таисия Феликсовна;+7 044 131 8802;10;466;38;с. Домодедово, ш. Волочаевское, д. 8/6, 430391;17328
5070;Бирюкова Евпраксия Романовна;8 542 201 34 41;396;171;49;клх Шилка, пер. М.Горького, д. 3, 241040;0
5071;Федосеева Нина Андреевна;+7 137 743 9454;144;222;14;д. Чермоз, алл. Поперечная, д. 31 к. 6/5, 570851;1092
5072;Гурий Владленович Кириллов;8 082 115 40 81;133;233;37;д. Сибай, ш. Советов, д. 5 к. 568, 044808;3700
5073;Всеволод Евсеевич Филиппов;+75071955452;105;531;6;к. Королев, алл. Заовражная, д. 23, 228543;2556
5074;Аксенов Иван Августович;+7 581 761 50 05;127;260;42;клх Гремячинск (Перм.), ш. Войкова, д. 83 стр. 238, 064452;5586
5075;Михей Тихонович Зайцев;8 618 352 51 85;98;594;47;г. Воскресенск, алл. Монтажников, д. 323 стр. 429, 132242;23312
5076;Лариса Аркадьевна Агафонова;8 (324) 539-71-92;419;558;42;г. Сибай, пер. Амурский, д. 55 стр. 1/2, 342707;5838
5077;Семенова Ираида Федоровна;+76543282022;122;301;41;г. Нефедова, ш. Сурикова, д. 6/3, 495310;7339
5078;Ангелина Архиповна Щербакова;+7 (428) 737-57-77;496;446;18;с. Рославль, алл. Кузнецова, д. 8/2 стр. 9, 832336;0
5079;Лукин Пантелеймон Герасимович;8 (307) 954-5032;410;241;36;к. Можга, пер. Глинки, д. 1/7, 110387;0
5080;Моисей Ануфриевич Тетерин;8 661 822 2726;465;78;17;д. Тула, ул. Кутузова, д. 4/2, 587221;0
5081;Тимофеев Любим Демидович;+7 281 912 34 52;329;261;22;ст. Белокуриха, бул. Химиков, д. 72 стр. 5/5, 639039;0
5082;Александра Афанасьевна Мухина;+7 (468) 187-2021;340;27;9;к. Бологое, алл. Подлесная, д. 354 к. 4, 076923;0
5083;Нонна Вениаминовна Устинова;+7 (487) 690-61-97;395;366;39;д. Крымск, пр. Мельничный, д. 3 стр. 608, 832491;0
5084;Никифорова Василиса Игоревна;+70951499644;176;416;41;клх Калач, алл. Космическая, д. 66, 928862;9840
5085;Герасимова Ирина Олеговна;87460812843;295;469;18;к. Кунгур, ул. Физкультурная, д. 5/5 к. 3/8, 487105;3132
5086;Любовь Мироновна Панова;+7 (400) 790-00-66;144;445;40;г. Магадан, ш. Просвещения, д. 14 стр. 3, 089481;12040
5087;Людмила Харитоновна Рябова;8 (699) 123-76-52;47;208;30;к. Волхов, бул. Л.Толстого, д. 8 к. 2/2, 179580;4830
5088;Селезнев Пахом Гаврилович;+7 586 422 20 66;2;242;28;д. Костомукша, бул. Полтавский, д. 4/5 стр. 4/5, 508356;6720
5089;Давыд Гаврилович Лапин;8 524 439 4560;472;558;17;п. Любань, пр. Почтовый, д. 6, 967696;1462
5090;Ситникова Варвара Тимофеевна;+72992574994;156;175;37;г. Невьянск, наб. Енисейская, д. 6/9 стр. 14, 060803;703
5091;Андреева Дарья Натановна;8 (480) 141-11-55;66;494;32;с. Шилка, ул. Ленинская, д. 8/5 к. 2, 539456;13696
5092;Ларионова Анжелика Эдуардовна;8 (262) 162-3702;315;350;32;ст. Кировск (Ленин.), ш. Раздольное, д. 3 к. 1, 227292;1120
5093;Наум Дорофеевич Яковлев;+7 (928) 731-58-86;194;254;43;г. Жиганск, пер. Центральный, д. 24 к. 8/7, 786970;2580
5094;Петухова Вера Вячеславовна;+7 268 202 9896;437;379;48;клх Джубга, наб. Новая, д. 6, 630268;0
5095;Павел Васильевич Гришин;8 837 307 5095;132;532;48;к. Холмогоры, алл. Энергетиков, д. 9/1, 666628;19200
5096;Сазонова Галина Юрьевна;8 (514) 397-0865;257;336;20;с. Котлас, пр. Братский, д. 8 стр. 19, 301219;1580
5097;Творимир Ефимьевич Уваров;+7 433 726 29 73;324;167;47;г. Владикавказ, наб. Челюскинцев, д. 1 стр. 586, 825638;0
5098;Соколов Потап Антонович;85686070940;221;283;19;п. Ахтубинск, ш. Мая 1, д. 36 стр. 973, 017947;1178
5099;Лапин Борис Эдуардович;84691168257;375;488;38;к. Тарко-Сале, бул. Малый, д. 4, 099647;4294
5100;Казакова Феврония Эдуардовна;8 771 651 58 62;125;584;21;п. Галич, алл. Байкальская, д. 888, 562632;9639
5101;Шилова Анжелика Павловна;+7 374 075 03 68;467;249;22;г. Каневская, ш. Декабристов, д. 3/6 стр. 535, 592350;0
5102;Куликов Порфирий Терентьевич;+7 (968) 415-93-04;240;91;37;п. Барнаул, ул. Спортивная, д. 3 к. 8, 660415;0
5103;Екатерина Натановна Калашникова;+7 (653) 768-37-94;38;106;48;д. Раменское, ш. Санаторное, д. 68, 593792;3264
5104;Пономарев Всеслав Терентьевич;+7 075 977 98 13;339;237;27;с. Соловки, пер. Запрудный, д. 19 стр. 7/3, 046868;0
5105;Аполлон Игнатьевич Захаров;89506187279;155;309;50;д. Сосьва (Хант.), пр. Калинина, д. 1 к. 306, 003747;7700
5106;Зоя Леонидовна Боброва;8 (361) 200-38-35;96;52;19;д. Наро-Фоминск, бул. Украинский, д. 10 стр. 95, 016019;0
5107;Боброва Наталья Архиповна;8 766 614 83 23;61;3;25;п. Плес, пр. Хвойный, д. 8, 291969;0
5108;Павлов Андрей Ефремович;8 (176) 606-8686;8;26;40;д. Петропавловск-Камчатский, пр. Курский, д. 6/8 стр. 5, 953526;720
5109;Полина Геннадиевна Никитина;8 149 769 7386;136;573;38;д. Усть-Ордынский, алл. Геологическая, д. 273 стр. 89, 591410;16606
5110;Нина Руслановна Мишина;+71865261729;176;579;1;д. Кулу, алл. Осипенко, д. 6/6 к. 1, 975219;403
5111;Соколова Анжела Даниловна;8 002 952 2726;400;98;33;к. Сочи, пр. Северный, д. 278, 318292;0
5112;Евсей Трофимович Данилов;8 (962) 884-2912;316;359;22;клх Братск, бул. Кольцевой, д. 85 к. 92, 639638;946
5113;Фадеев Спартак Игнатович;+7 063 307 60 30;400;430;30;д. Яшалта, пер. Павлика Морозова, д. 2/1 к. 9, 541331;900
5114;Ксения Евгеньевна Шестакова;+7 (342) 892-6771;341;93;38;клх Терскол, наб. Тимирязева, д. 7/6 к. 970, 581460;0
5115;Боброва Евгения Юрьевна;+7 504 514 8760;447;317;15;д. Рыльск, ш. Орджоникидзе, д. 5 стр. 1/3, 531803;0
5116;Арсений Брониславович Афанасьев;8 417 061 0979;66;255;41;к. Ступино, бул. Пархоменко, д. 4, 324964;7749
5117;г-жа Новикова Эмилия Тарасовна;87729170373;274;458;30;ст. Челябинск, наб. Волжская, д. 5, 028990;5520
5118;Хохлов Кондратий Фролович;+7 (244) 964-8122;272;9;14;клх Шатки, пр. Песчаный, д. 21 стр. 5, 475960;0
5119;Юлиан Давыдович Орлов;8 473 949 1001;190;278;6;г. Быково (метеост.), пр. Марта 8, д. 1 к. 816, 043133;528
5120;Елисеев Влас Витальевич;+7 654 949 0217;492;407;2;г. Краснодар, ш. Локомотивное, д. 3/5 к. 38, 621214;0
5121;Корнилов Рюрик Фадеевич;8 (003) 371-11-14;338;144;30;с. Кострома, алл. Портовая, д. 172 стр. 5, 741763;0
5122;Евпраксия Наумовна Крылова;8 861 298 16 41;35;13;24;д. Белореченск, пр. Азовский, д. 10 стр. 62, 519377;0
5123;Фаина Тарасовна Беляева;8 (359) 586-2682;260;119;29;клх Красноуральск, пр. Базарный, д. 1 к. 8, 293209;0
5124;Акулина Валериевна Александрова;8 (027) 037-9609;19;461;49;с. Уренгой, бул. Лесный, д. 91, 990406;21658
5125;Рябова София Васильевна;8 (878) 035-18-47;472;14;23;д. Новомичуринск, пер. Виноградный, д. 13 стр. 419, 279355;0
5126;Русакова Валентина Богдановна;8 (670) 422-66-98;144;460;44;п. Канск, пр. Пограничный, д. 5/5 к. 734, 539701;13904
5127;Надежда Ефимовна Турова;+7 (493) 493-7022;160;95;39;д. Вуктыл, алл. Волгоградская, д. 57 к. 9/4, 278231;0
5128;Кошелева Прасковья Викторовна;8 156 420 50 47;449;92;36;к. Джейрах, алл. Томская, д. 872, 815119;0
5129;Никонова Анжела Николаевна;+7 946 274 60 62;413;476;28;д. Серпухов, ш. Путейское, д. 46 стр. 517, 365058;1764
5130;Оксана Кузьминична Пономарева;8 (189) 419-7222;88;203;26;к. Магас, бул. Минина, д. 863, 936208;2990
5131;Федорова Алевтина Ильинична;80050741010;426;292;49;клх Избербаш, алл. Кубанская, д. 32 стр. 148, 807063;0
5132;Русакова Нонна Семеновна;+7 (688) 635-8685;246;554;50;д. Ессентуки, пер. Беляева, д. 2, 947211;15400
5133;Соболева Анжелика Борисовна;+7 (165) 913-15-40;498;312;29;с. Хасан, пр. Петровский, д. 2/9 стр. 8, 325947;0
5134;Нестерова Кира Кузьминична;+70480998226;467;570;15;клх Орехово-Зуево, наб. Садовая, д. 1 стр. 89, 965412;1545
5135;Таисия Яковлевна Артемьева;8 362 080 5810;222;164;14;клх Лагань, пер. Толбухина, д. 680 стр. 4, 539495;0
5136;Анжела Михайловна Горбунова;+7 818 374 9329;463;471;33;д. Яшкуль, наб. Просвещения, д. 889 к. 228, 386815;264
5137;Денисов Аполлинарий Демьянович;8 (425) 076-1004;96;572;47;к. Ребриха, ш. Донское, д. 6, 860348;22372
5138;Георгий Харлампович Кошелев;+7 (623) 153-19-78;249;290;30;д. Неплюевка, наб. Приморская, д. 39, 523421;1230
5139;Крылова Лидия Матвеевна;+77436893199;93;577;45;с. Туапсе, бул. Высокий, д. 46, 107001;21780
5140;Всемил Марсович Морозов;8 097 785 69 21;136;426;39;клх Алагир, алл. Павлика Морозова, д. 6/5 к. 2, 486612;11310
5141;Зимин Никон Тарасович;8 (542) 674-7581;479;206;46;клх Дмитров, алл. Шаумяна, д. 50, 377137;0
5142;Маслов Нифонт Анатольевич;+77594392131;408;67;34;ст. Усть-Ишим, наб. Гайдара, д. 6 к. 48, 515339;0
5143;Нинель Николаевна Воронцова;+7 (421) 168-2286;23;536;1;г. Усинск, пер. Краснодарский, д. 427, 791639;513
5144;Яковлева Анна Станиславовна;+7 618 339 6566;343;173;11;п. Уварово, пр. Гражданский, д. 7/1 стр. 252, 475698;0
5145;Рыбакова Нонна Павловна;+7 (300) 649-50-55;76;297;11;д. Пушкино (Моск.), наб. Трактовая, д. 8 стр. 8/1, 753562;2431
5146;Анна Георгиевна Жукова;8 291 442 31 77;130;337;15;д. Саратов, алл. Заозерная, д. 43 стр. 28, 578464;3105
5147;Раиса Максимовна Комиссарова;+7 896 387 4269;206;455;35;д. Сыктывкар, ш. Боровое, д. 463, 493717;8715
5148;Андрон Аверьянович Соколов;+7 (257) 198-8466;67;274;33;д. Ельня, ул. Хвойная, д. 4, 393122;6831
5149;Антип Устинович Рогов;8 975 169 6935;122;349;49;д. Сладково, наб. Сенная, д. 73 к. 3, 128093;11123
5150;Алексеев Анисим Валерьевич;+7 567 520 1774;418;367;37;клх Советский, алл. Толбухина, д. 2 к. 9/2, 676793;0
5151;Галкина Алла Петровна;+7 (807) 193-9226;85;494;18;г. Всеволожск, наб. Учительская, д. 9/2 к. 107, 054099;7362
5152;Данила Тарасович Корнилов;87121269922;179;227;42;г. Беломорск, алл. Менделеева, д. 17, 098422;2016
5153;Исакова Варвара Яковлевна;8 (357) 798-0746;253;64;21;г. Ахтубинск, пер. Лесозаводский, д. 717 стр. 8, 758883;0
5154;Зыков Поликарп Архипович;8 739 559 8203;45;283;17;ст. Санкт-Петербург, ш. Луначарского, д. 61 стр. 15, 062602;4046
5155;Яковлев Николай Абрамович;8 837 079 56 71;215;418;36;п. Хабаровск, алл. Орловская, д. 94 к. 8/1, 061076;7308
5156;Автоном Иларионович Воробьев;8 (434) 610-26-03;407;462;35;д. Владимир, ул. Челюскинцев, д. 7, 095132;1925
5157;Родионова Нинель Захаровна;+7 (854) 733-9015;9;346;7;ст. Бологое, ул. Пограничная, д. 94, 996726;2359
5158;Елисеева Ирина Тарасовна;+7 (570) 895-3691;234;178;8;п. Алапаевск, бул. Ушакова, д. 10 стр. 3/2, 658921;0
5159;Людмила Кузьминична Цветкова;8 (736) 541-64-08;16;212;4;п. Оймякон, пр. Индустриальный, д. 1/8 к. 6/6, 547075;784
5160;Рыбакова Нонна Степановна;8 784 328 8257;344;386;36;п. Нягань, бул. Чайкиной, д. 2/5 стр. 272, 792939;1512
5161;Савватий Арсенович Потапов;+74829281071;96;279;18;с. Азов (Рост.), наб. Репина, д. 93 к. 9, 688859;3294
5162;Устинова Марфа Валентиновна;+7 (705) 835-1953;249;338;33;д. Тотьма, ул. Деповская, д. 12 стр. 20, 888248;2937
5163;Котова Элеонора Ивановна;+72741674283;436;70;45;к. Гагарин, пер. К.Маркса, д. 90, 055508;0
5164;Октябрина Ивановна Филатова;82456669689;419;585;26;д. Зеленоград, ш. Орловское, д. 239, 504043;4316
5165;Олег Викторович Елисеев;8 (052) 218-68-81;445;523;46;к. Куртамыш, бул. Ушакова, д. 6 к. 8, 210858;3588
5166;Евдокия Олеговна Наумова;+7 401 634 3896;185;394;11;ст. Смоленск, пер. Ленинградский, д. 8/1, 416897;2299
5167;Эрнст Иларионович Баранов;8 341 219 53 20;129;393;19;к. Воскресенск, ш. Металлистов, д. 993, 898486;5016
5168;Поликарп Изотович Федосеев;8 531 519 5015;123;317;22;к. Липецк, пер. Астраханский, д. 16, 894571;4268
5169;Копылов Радован Венедиктович;+77133663389;447;25;40;д. Орел, бул. Марта 8, д. 92, 879411;0
5170;Маргарита Дмитриевна Осипова;+7 (011) 621-67-18;96;415;6;клх Балашов, наб. Кирпичная, д. 7 стр. 785, 162979;1914
5171;Фома Артурович Капустин;8 (730) 247-18-54;117;365;35;клх Ханты-Мансийск, наб. Бригадная, д. 4, 246320;8680
5172;Силина Нонна Мироновна;+7 (226) 963-4473;55;92;47;г. Объячево, наб. Бажова, д. 88, 649795;1739
5173;Пелагея Руслановна Савина;+7 498 180 8183;53;292;5;п. Магас, пр. Сосновый, д. 88 стр. 901, 738521;1195
5174;Виктор Архипович Нестеров;+7 185 274 37 18;106;313;40;ст. Ряжск, ул. Жукова, д. 4 стр. 4, 749524;8280
5175;Светозар Архипович Евдокимов;+7 521 496 1532;124;535;40;к. Кудымкар, ш. Профсоюзное, д. 8/7 стр. 8/8, 873931;16440
5176;Лазарь Фролович Шаров;+7 690 302 6507;104;220;20;п. Далматово, бул. Энергетический, д. 88 стр. 6/7, 458707;2320
5177;Лобанова Нонна Харитоновна;8 196 327 1213;289;549;3;с. Серпухов, ш. Парижской Коммуны, д. 6/3 к. 7/2, 918487;780
5178;Анисим Жанович Белоусов;+7 747 458 3548;292;589;7;п. Киржач, пр. Алтайский, д. 1/6, 272546;2079
5179;Никандр Матвеевич Логинов;81184242097;36;586;26;с. Асбест, пр. Сельский, д. 700 к. 584, 625284;14300
5180;Флорентин Трифонович Харитонов;8 843 615 35 20;147;368;38;д. Вилюйск, ул. Смоленская, д. 5 к. 2/8, 835841;8398
5181;Куприян Аксёнович Ширяев;+7 (181) 127-2431;73;26;3;п. Диксон, ш. Высокое, д. 3 стр. 149, 616000;0
5182;Степан Валентинович Гуляев;86857836957;190;300;22;п. Сыктывкар, ул. Нахимова, д. 226 стр. 9/6, 445337;2420
5183;Милий Игнатьевич Меркушев;+7 766 119 60 57;474;410;29;г. Гремячинск (Перм.), алл. Леонова, д. 31 стр. 40, 559757;0
5184;Жданов Наркис Тарасович;8 219 101 62 71;418;338;12;клх Тутончаны, ш. Казачье, д. 5/8 к. 2/4, 382210;0
5185;Алевтина Захаровна Кудрявцева;+7 (867) 435-73-96;42;241;43;д. Люберцы, пер. Смоленский, д. 5/6 к. 29, 879036;8557
5186;Стрелкова Лора Кузьминична;8 982 040 0421;245;370;34;д. Белый Яр (Томск.), пр. Добролюбова, д. 3/6 к. 92, 528951;4250
5187;Синклитикия Васильевна Новикова;8 943 027 3860;67;223;43;г. Агата, бул. Некрасова, д. 946 стр. 6, 523000;6708
5188;Карл Ильич Лыткин;8 898 648 70 41;124;125;1;г. Тында, ш. Строительное, д. 38, 345726;1
5189;Викентий Брониславович Цветков;+7 207 188 0882;329;196;37;г. Нерчинск, наб. Высоковольтная, д. 22, 350730;0
5190;Анжелика Викторовна Фомичева;+7 (309) 626-7411;406;197;24;г. Миасс, наб. Локомотивная, д. 81, 927786;0
5191;Зоя Артемовна Сергеева;8 (924) 454-9889;183;168;47;п. Углегорск, пр. Олега Кошевого, д. 4/1, 501257;0
5192;Фёкла Архиповна Федорова;8 (807) 581-1896;180;524;25;ст. Усолье Сибирское, наб. Вишневая, д. 6/4 стр. 17, 263197;8600
5193;Владимиров Феоктист Игоревич;8 223 307 9534;185;278;13;клх Катав-Ивановск, пер. Профсоюзный, д. 53 стр. 5/9, 940833;1209
5194;Наина Григорьевна Блохина;+7 106 972 20 77;327;457;32;ст. Шатура, бул. Рылеева, д. 3/8 стр. 6/3, 998527;4160
5195;Филатова Галина Дмитриевна;8 418 440 73 10;363;59;35;п. Катав-Ивановск, ш. Почтовое, д. 9, 241577;0
5196;Жданова Эмилия Тимофеевна;+7 (256) 505-3177;463;233;39;с. Алексин, пер. Омский, д. 14 стр. 31, 417302;0
5197;Дементий Эдгардович Панфилов;8 805 498 5370;382;549;9;д. Верещагино (Перм.), пр. Школьный, д. 9/3 стр. 5/6, 541263;1503
5198;Василий Владиленович Орехов;+78107377500;329;320;3;к. Кунгур, пер. К.Маркса, д. 117 стр. 85, 900818;0
5199;Юдин Милан Еремеевич;8 (420) 862-8178;209;37;48;клх Озеры, пр. Партизанский, д. 763 стр. 936, 987400;0
5200;Вишняков Аким Трифонович;8 (843) 247-29-15;408;112;38;г. Лабытнанги, бул. Новый, д. 93 стр. 97, 042240;0
5201;Борислав Харитонович Давыдов;+7 (244) 277-2801;394;30;24;ст. Теберда, пер. Морской, д. 756, 550598;0
5202;Мельников Рюрик Жанович;8 180 463 68 57;129;411;14;к. Урай, ул. 1 Мая, д. 37, 832232;3948
5203;Сафонов Евстигней Анисимович;87390147124;1;255;47;г. Волгоград, пр. Ушакова, д. 687, 103577;11938
5204;Киселева Виктория Архиповна;8 (698) 806-2337;50;157;39;к. Калачинск, ш. Ленинградское, д. 955, 370632;4173
